,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.001195457262402869,0.044829647340107595
2,0.02,0.005080693365212194,0.08965929468021519
3,0.03,0.008069336521219366,0.13448894202032277
4,0.04,0.011954572624028692,0.17931858936043038
5,0.05,0.016138673042438732,0.22414823670053796
6,0.06,0.022414823670053794,0.26897788404064554
7,0.07,0.028093245666467422,0.3138075313807532
8,0.08,0.03317393903167962,0.35863717872086076
9,0.09,0.03795576808129109,0.4034668260609683
10,0.1,0.043933054393305436,0.4482964734010759
11,0.11,0.049910340705319786,0.4931261207411835
12,0.12,0.05499103407053198,0.5379557680812911
13,0.13,0.06037059175134489,0.5827854154213987
14,0.14,0.06933652121936641,0.6276150627615064
15,0.15,0.07411835026897788,0.6724447101016139
16,0.16,0.08248655110579797,0.7172743574417215
17,0.17,0.08906156604901375,0.7621040047818292
18,0.18,0.09772863120143455,0.8069336521219366
19,0.19,0.1054991034070532,0.8517632994620442
20,0.2,0.11356843992827256,0.8965929468021518
21,0.21,0.1192468619246862,0.9414225941422594
22,0.22,0.12671846981470414,0.986252241482367
23,0.23,0.1347878063359235,1.0
24,0.24,0.14255827854154213,1.0
25,0.25,0.15122534369396293,1.0
26,0.26,0.15869695158398087,1.0
27,0.27,0.16706515242080094,1.0
28,0.28,0.1766288105200239,1.0
29,0.29,0.18380155409444113,1.0
30,0.3,0.1954572624028691,1.0
31,0.31,0.20651524208009564,1.0
32,0.32,0.21697549312612074,1.0
33,0.33,0.22564255827854154,1.0
34,0.34,0.23520621637776448,1.0
35,0.35000000000000003,0.24506873879258817,1.0
36,0.36,0.25373580394500894,1.0
37,0.37,0.26539151225343693,1.0
38,0.38,0.27764494919306637,1.0
39,0.39,0.28661087866108786,1.0
40,0.4,0.2976688583383144,1.0
41,0.41000000000000003,0.30842797369994024,1.0
42,0.42,0.32217573221757323,1.0
43,0.43,0.3338314405260012,1.0
44,0.44,0.3436939629408249,1.0
45,0.45,0.3574417214584579,1.0
46,0.46,0.367901972504483,1.0
47,0.47000000000000003,0.3795576808129109,1.0
48,0.48,0.3909145248057382,1.0
49,0.49,0.40376569037656906,1.0
50,0.5,0.41452480573819483,1.0
51,0.51,0.4255827854154214,1.0
52,0.52,0.43454871488344293,1.0
53,0.53,0.4465032875074716,1.0
54,0.54,0.4581589958158996,1.0
55,0.55,0.4677226539151225,1.0
56,0.56,0.47728631201434546,1.0
57,0.5700000000000001,0.4892408846383742,1.0
58,0.58,0.5008965929468021,1.0
59,0.59,0.5107591153616258,1.0
60,0.6,0.5218170950388523,1.0
61,0.61,0.5328750747160789,1.0
62,0.62,0.5445307830245069,1.0
63,0.63,0.5555887627017334,1.0
64,0.64,0.5684399282725643,1.0
65,0.65,0.5812910938433951,1.0
66,0.66,0.592946802151823,1.0
67,0.67,0.608786610878661,1.0
68,0.68,0.6198445905558876,1.0
69,0.6900000000000001,0.632098027495517,1.0
70,0.7000000000000001,0.6440526001195457,1.0
71,0.71,0.6524208009563658,1.0
72,0.72,0.6628810520023909,1.0
73,0.73,0.6796174536760311,1.0
74,0.74,0.6981470412432755,1.0
75,0.75,0.7175732217573222,1.0
76,0.76,0.7355050806933652,1.0
77,0.77,0.7516437537358039,1.0
78,0.78,0.7653915122534369,1.0
79,0.79,0.7842199641362821,1.0
80,0.8,0.7964734010759116,1.0
81,0.81,0.8105200239091452,1.0
82,0.8200000000000001,0.8278541542139869,1.0
83,0.8300000000000001,0.842498505678422,1.0
84,0.84,0.8538553496712492,1.0
85,0.85,0.8637178720860729,1.0
86,0.86,0.8771667662881052,1.0
87,0.87,0.8864315600717274,1.0
88,0.88,0.8942020322773461,1.0
89,0.89,0.904961147638972,1.0
90,0.9,0.9151225343693963,1.0
91,0.91,0.9249850567842199,1.0
92,0.92,0.9336521219366407,1.0
93,0.93,0.9435146443514645,1.0
94,0.9400000000000001,0.9551703526598924,1.0
95,0.9500000000000001,0.9623430962343096,1.0
96,0.96,0.9689181111775254,1.0
97,0.97,0.9793783622235505,1.0
98,0.98,0.9877465630603706,1.0
99,0.99,0.9949193066347878,1.0
100,1.0,1.0,1.0
